State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9613441417851885	0.03413002352882588	8.422886862288893E-4	0.0	0.0	0.0	7.53853895320711E-5	0.0035968935165380444	1.1267093686888102E-5	0.0
2	0.004309003869588066	0.9794482180428814	0.005091827327759639	5.788060627652429E-4	0.0	0.0	0.0096825403836459	7.901904356120177E-4	9.748064966538926E-5	1.933228082340288E-6
3	0.001954423278561999	0.10074756306607553	0.8886541733919824	0.003770751419800004	5.83470856621642E-4	6.063804673195731E-5	0.002328976409638921	0.0018392998559576957	3.6783678169940225E-5	2.391999646001264E-5
4	0.0	0.006026790641973618	0.001992548075891765	0.9690980386644209	0.01096794892847019	0.0062585927438089	0.004973236269272444	3.6095775546525613E-4	6.82108329425676E-5	2.536760877544121E-4
5	7.32585657539294E-6	0.0	7.829391992006078E-4	0.02446144440435006	0.927999898949146	0.04514539628536719	0.0	2.3060188428205304E-8	1.2061535574633322E-5	0.001590910709597677
6	0.0	0.0	2.14024152124169E-4	0.034923993412170715	0.1117509778381744	0.7773659344583302	0.006471640073298237	0.00291109301426141	0.0	0.06636233705164082
7	1.7364128758341917E-4	0.19779331109205328	0.0024607911140590946	0.0097048661488592	0.0	0.00234541361723981	0.7002161499164731	0.08199752938880489	0.005125627281235245	1.8267015369182642E-4
8	0.023465865254175194	0.04129729218312173	0.005021554362880588	0.002181710348548142	0.0	0.00287074134433598	0.21396660352532423	0.5930199295206017	0.11653333015712229	0.0016429733038901481
9	7.632065620244555E-5	0.006030796432398055	1.6071530521260917E-4	4.5066144931785846E-4	1.2249237211236431E-5	0.0	0.017273444333290963	0.14479394711158927	0.7888782762731033	0.042323589201674214
10	0.0	1.0697623745055131E-4	1.0387195214733784E-4	0.0025825551208518427	0.007742731589459884	0.11868908646336947	0.0012617594948172027	0.003150066994824919	0.06072399984604243	0.8056389523010363
